year,state,population-density
1930,missouri,52.30465409566529
1930,nebraska,17.841487690472427
1931,illinois,132.7323225739054
1931,indiana,89.42999021130134
1931,iowa,44.10655874480055
1931,minnesota,30.068154867791566
1931,missouri,53.237128729844734
1931,nebraska,17.89320214754626
1932,illinois,133.57841126990144
1932,indiana,90.08897693683748
1932,iowa,44.23095274609532
1932,minnesota,30.436242456073636
1932,missouri,53.73923045594136
1932,nebraska,17.919059376083176
1933,illinois,134.13095898973555
1933,indiana,90.72050588214296
1933,iowa,44.33757617577655
1933,minnesota,30.74681635868663
1933,missouri,54.1265660732159
1933,nebraska,17.90613076181472
1934,illinois,134.2000274547148
1934,indiana,91.13237258560305
1934,iowa,44.60413474997961
1934,minnesota,30.999876575630555
1934,missouri,54.284369472846265
1934,nebraska,17.867344919009344
1935,illinois,134.63170536083524
1935,indiana,91.4893237286018
1935,iowa,44.852922752569135
1935,minnesota,31.252936792574477
1935,missouri,54.48521016328491
1935,nebraska,17.776844619130134
1936,illinois,135.37419135936236
1936,indiana,91.92864821229257
1936,iowa,44.586364178366075
1936,minnesota,31.448483323849327
1936,missouri,54.5282474540932
1936,nebraska,17.557058176566343
1937,illinois,135.66773233552425
1937,indiana,92.64255049829006
1937,iowa,44.39088789061716
1937,minnesota,31.586516169455102
1937,missouri,54.42782710887387
1937,nebraska,17.31141450546564
1938,illinois,135.82313638172758
1938,indiana,92.97204386105814
1938,iowa,44.31980560416301
1938,minnesota,31.667035329391805
1938,missouri,54.24133218203798
1938,nebraska,17.14334251997568
1939,illinois,136.23754717160318
1939,indiana,93.43882612497957
1939,iowa,44.781840466114986
1939,minnesota,31.87408459780047
1939,missouri,54.2700237092435
1939,nebraska,17.039913605828012
1940,illinois,136.49655391527543
1940,indiana,94.26255953189975
1940,iowa,45.08394018354513
1940,minnesota,32.092636603342946
1940,missouri,54.31306100005178
1940,nebraska,17.014056377291098
1941,illinois,138.05059437730893
1941,indiana,95.6354485434334
1941,iowa,44.26649388932239
1941,minnesota,31.26443952970829
1941,missouri,54.6717050901208
1941,nebraska,16.44519734947893
1942,illinois,139.12115558448755
1942,indiana,96.29443526896954
1942,iowa,43.342424165418436
1942,minnesota,30.62028625021467
1942,missouri,54.92992883497049
1942,nebraska,16.01855307861981
1943,illinois,134.01008917602184
1943,indiana,94.70188401559052
1943,iowa,41.47651414599697
1943,minnesota,29.64255359384042
1943,missouri,53.15105414822817
1943,nebraska,16.044410307156724
1944,illinois,133.28487029373954
1944,indiana,94.45476399351446
1944,iowa,40.890085282750235
1944,minnesota,29.055914000015875
1944,missouri,51.07091842582788
1944,nebraska,15.721194950445268
1945,illinois,131.24735057685118
1945,indiana,94.09781285051572
1945,iowa,41.014479284044995
1945,minnesota,29.182444108487836
1945,missouri,50.439704827306414
1945,nebraska,15.656551879102977
1946,illinois,140.8133329764796
1946,indiana,101.64870241395074
1946,iowa,43.84000017059749
1946,minnesota,31.448483323849327
1946,missouri,53.73923045594136
1946,nebraska,16.2383395211836
1947,illinois,144.02501659801547
1947,indiana,103.76295149171254
1947,iowa,44.586364178366075
1947,minnesota,32.161653026145835
1947,missouri,55.15946105261466
1947,nebraska,16.354697049599725
1948,illinois,147.66837812567178
1948,indiana,106.45381395431848
1948,iowa,45.19056361322635
1948,minnesota,32.98985009978049
1948,missouri,55.145115289011905
1948,nebraska,16.354697049599725
1949,illinois,149.70589784256015
1949,indiana,108.67789415300298
1949,iowa,45.812533619700176
